zip,lat,long,city,state,county
98020,47.800693,-122.366949,Woodway,WA,
98021,47.791806,-122.224339,Bothell,WA,
98022,47.266545,-122.031429,Enumclaw,WA,
98023,47.310358,-122.36123,Federal Way,WA,
98024,47.568233,-121.889646,Fall City,WA,
98026,47.823324,-122.334463,Edmonds,WA,
98027,47.550911,-122.033517,Issaquah,WA,
98031,47.388004,-122.193184,Kent,WA,
98032,47.377633,-122.285362,Kent,WA,
98033,47.678597,-122.189442,Kirkland,WA,
98034,47.718777,-122.196571,Kirkland,WA,
98036,47.811825,-122.287789,Brier,WA,
98037,47.850532,-122.282139,Lynnwood,WA,
98038,47.384526,-122.057413,Maple Valley,WA,
98040,47.563149,-122.226562,Mercer Island,WA,
98042,47.368044,-122.120615,Kent,WA,
98043,47.793061,-122.304036,Mountlake Terrac,WA,
98045,47.475546,-121.757142,North Bend,WA,
98047,47.266605,-122.243481,Pacific,WA,
98051,47.415476,-121.987897,Ravensdale,WA,
98052,47.671796,-122.123242,Redmond,WA,
98053,47.646238,-122.038578,Redmond,WA,
98055,47.464759,-122.207484,Renton,WA,
98056,47.507336,-122.181942,Renton,WA,
98058,47.446507,-122.121586,Renton,WA,
98059,47.467383,-122.151178,Renton,WA,
98065,47.529286,-121.822533,Snoqualmie,WA,
98070,47.425949,-122.464415,Vashon,WA,
98072,47.768384,-122.127087,Woodinville,WA,
98101,47.611435,-122.330456,Seattle,WA,
98102,47.63025,-122.320993,Seattle,WA,
98103,47.67335,-122.342621,Seattle,WA,
98104,47.603631,-122.325644,Seattle,WA,
98105,47.663266,-122.302236,Seattle,WA,
98106,47.534362,-122.354688,Seattle,WA,
98107,47.67012,-122.37626,Seattle,WA,
98108,47.547448,-122.306823,Tukwila,WA,
98109,47.633875,-122.347615,Seattle,WA,
98110,47.645048,-122.531297,Bainbridge Islan,WA,
98112,47.630115,-122.297157,Seattle,WA,
98115,47.684918,-122.296828,Seattle,WA,
98116,47.574591,-122.393445,Seattle,WA,
98117,47.687263,-122.377223,Seattle,WA,
98118,47.541234,-122.275021,Seattle,WA,
98119,47.637917,-122.364272,Seattle,WA,
98121,47.615135,-122.344696,Seattle,WA,
98122,47.611633,-122.305608,Seattle,WA,
98125,47.717002,-122.301546,Seattle,WA,
98126,47.544361,-122.373458,Seattle,WA,
98133,47.737717,-122.343132,Seattle,WA,
98134,47.590276,-122.326346,Seattle,WA,
98136,47.539769,-122.387768,Seattle,WA,
98144,47.584624,-122.300457,Seattle,WA,
98146,47.501069,-122.353989,Burien,WA,
98148,47.450209,-122.326112,Normandy Park,WA,
98155,47.758161,-122.296305,Lk Forest Park,WA,
98158,47.442739,-122.318454,Seatac,WA,
98166,47.455052,-122.347392,Normandy Park,WA,
98168,47.48851,-122.302376,Tukwila,WA,
98177,47.746678,-122.368585,Seattle,WA,
98178,47.499489,-122.247366,Tukwila,WA,
98188,47.449808,-122.281159,Tukwila,WA,
98198,47.407286,-122.309559,Des Moines,WA,
98199,47.648845,-122.396357,Seattle,WA,
98201,47.988431,-122.200571,Everett,WA,
98203,47.941937,-122.221846,Everett,WA,
98204,47.901659,-122.247217,Everett,WA,
98205,47.990065,-122.115759,Everett,WA,
98208,47.894822,-122.198722,Everett,WA,
98220,48.675248,-122.191391,Acme,WA,
98221,48.500438,-122.630873,Anacortes,WA,
98223,48.18293,-122.112126,Arlington,WA,
98224,47.757787,-121.44757,Baring,WA,
98225,48.748957,-122.488676,Bellingham,WA,
98226,48.762763,-122.441457,Bellingham,WA,
98230,48.963572,-122.732327,Blaine,WA,
98232,48.562037,-122.413438,Bow,WA,
98233,48.478577,-122.33449,Burlington,WA,
98236,47.950845,-122.391588,Clinton,WA,
98237,48.530962,-121.664294,Concrete,WA,
98239,48.218911,-122.682346,Coupeville,WA,
98240,48.937412,-122.622571,Custer,WA,
98241,48.249285,-121.591807,Darrington,WA,
98244,48.803366,-122.153957,Glacier,WA,
98245,48.665554,-122.937045,Eastsound,WA,
98247,48.90447,-122.332474,Everson,WA,
98248,48.862531,-122.595293,Ferndale,WA,
98249,48.03417,-122.564086,Freeland,WA,
98250,48.545416,-123.094717,Friday Harbor,WA,
98252,48.078977,-121.942752,Granite Falls,WA,
98253,48.124432,-122.587086,Greenbank,WA,
98257,48.409306,-122.53134,La Conner,WA,
98258,48.017103,-122.067153,Lake Stevens,WA,
98260,48.018672,-122.452992,Langley,WA,
98261,48.520804,-122.967434,Lopez,WA,
98262,48.712765,-122.682285,Lummi Island,WA,
98263,48.525744,-122.016183,Lyman,WA,
98264,48.937225,-122.459153,Lynden,WA,
98270,48.065639,-122.156168,Marysville,WA,
98271,48.096572,-122.197956,Marysville,WA,
98272,47.85853,-121.947376,Monroe,WA,
98273,48.416427,-122.326548,Mount Vernon,WA,
98275,47.919896,-122.301906,Mukilteo,WA,
98277,48.315096,-122.637439,Oak Harbor,WA,
98278,48.295271,-122.69005,Whidbey Island N,WA,
98279,48.655526,-122.836224,Olga,WA,
98281,48.987876,-123.055474,Point Roberts,WA,
98283,48.470388,-121.555352,Rockport,WA,
98284,48.527405,-122.232943,Sedro Woolley,WA,
98288,47.692158,-121.371297,Skykomish,WA,
98290,47.895381,-122.071562,Snohomish,WA,
98292,48.201067,-122.377978,Stanwood,WA,
98294,47.858942,-121.736869,Sultan,WA,
98295,48.970763,-122.207425,Sumas,WA,
98303,47.15872,-122.696025,Anderson Island,WA,
98304,46.753121,-121.989791,Ashford,WA,
98305,48.067263,-124.305424,Beaver,WA,
98310,47.601916,-122.629913,Bremerton,WA,
98312,47.575424,-122.695786,Bremerton,WA,
98314,47.746255,-122.724354,Puget Sound Nava,WA,
98315,47.692017,-122.716106,Silverdale,WA,
98320,47.677596,-122.937509,Brinnon,WA,
98321,47.152449,-122.062098,Buckley,WA,
98323,47.080242,-122.051339,Carbonado,WA,
98325,47.98607,-122.788323,Chimacum,WA,
98326,48.225486,-124.201512,Clallam Bay,WA,
98328,46.870778,-122.269626,Eatonville,WA,
98329,47.378579,-122.7,Gig Harbor,WA,
98330,46.766607,-122.150344,Elbe,WA,
98331,47.928732,-124.398949,Forks,WA,
98332,47.3607,-122.600144,Gig Harbor,WA,
98333,47.25238,-122.628579,Fox Island,WA,
98335,47.300154,-122.608377,Gig Harbor,WA,
98336,46.528266,-122.099014,Glenoma,WA,
98338,47.024575,-122.293648,Graham,WA,
98339,48.034531,-122.768151,Port Hadlock,WA,
98340,47.906143,-122.565509,Hansville,WA,
98346,47.810844,-122.525503,Kingston,WA,
98349,47.247366,-122.74273,Home,WA,
98351,47.200737,-122.756126,Longbranch,WA,
98354,47.24827,-122.315514,Milton,WA,
98355,46.709635,-122.186056,Mineral,WA,
98356,46.558056,-122.249573,Morton,WA,
98358,48.04321,-122.692553,Nordland,WA,
98359,47.424088,-122.574512,Olalla,WA,
98360,47.082206,-122.185978,Orting,WA,
98361,46.650038,-121.655254,Packwood,WA,
98362,48.106489,-123.438442,Port Angeles,WA,
98365,47.922192,-122.689615,Port Ludlow,WA,
98366,47.504838,-122.615276,South Park Villa,WA,
98368,48.104012,-122.794457,Port Townsend,WA,
98370,47.742278,-122.627721,Poulsbo,WA,
98371,47.199123,-122.315097,Puyallup,WA,
98372,47.204202,-122.273415,Puyallup,WA,
98373,47.128363,-122.321868,Puyallup,WA,
98374,47.142427,-122.265248,Puyallup,WA,
98376,47.832429,-122.858304,Quilcene,WA,
98377,46.549195,-121.855533,Randle,WA,
98380,47.625497,-122.822685,Seabeck,WA,
98381,48.303166,-124.468467,Sekiu,WA,
98382,48.088136,-123.119814,Sequim,WA,
98383,47.662139,-122.698054,Silverdale,WA,
98387,47.073218,-122.394336,Spanaway,WA,
98388,47.170369,-122.588837,Steilacoom,WA,
98390,47.188801,-122.180275,Bonney Lake,WA,
98392,47.734303,-122.557295,Suquamish,WA,
98394,47.330921,-122.773598,Vaughn,WA,
98402,47.254508,-122.440536,Tacoma,WA,
98403,47.26428,-122.457538,Tacoma,WA,
98404,47.211312,-122.412625,Tacoma,WA,
98405,47.248351,-122.46435,Tacoma,WA,
98406,47.26325,-122.499349,Tacoma,WA,
98407,47.282479,-122.503881,Tacoma,WA,
98408,47.207267,-122.444381,Tacoma,WA,
98409,47.20381,-122.482503,Tacoma,WA,
98421,47.266373,-122.401457,Tacoma,WA,
98422,47.294805,-122.398349,Tacoma,WA,
98424,47.243632,-122.350962,Fife,WA,
98433,47.100864,-122.583486,Fort Lewis,WA,
98439,47.122905,-122.529326,Lakewood Center,WA,
98443,47.204369,-122.372815,Tacoma,WA,
98444,47.156553,-122.448842,Parkland,WA,
98445,47.133967,-122.411614,Parkland,WA,
98446,47.14041,-122.37189,Parkland,WA,
98465,47.249139,-122.527272,Tacoma,WA,
98466,47.22788,-122.53503,Fircrest,WA,
98467,47.205395,-122.533562,Tacoma,WA,
98498,47.164269,-122.555357,Lakewood Center,WA,
98499,47.160786,-122.509074,Lakewood Center,WA,
98501,47.012906,-122.876311,Olympia,WA,
98502,47.029828,-122.95214,Olympia,WA,
98503,47.023967,-122.782665,Lacey,WA,
98506,47.076259,-122.832844,Lacey,WA,
98520,46.984293,-123.79629,Aberdeen,WA,
98524,47.385004,-122.853571,Allyn,WA,
98526,47.470579,-123.907375,Amanda Park,WA,
98528,47.454956,-122.822381,Bear Creek,WA,
98531,46.724635,-122.967068,Centralia,WA,
98532,46.638193,-122.965764,Chehalis,WA,
98533,46.567131,-122.566005,Cinebar,WA,
98535,47.065044,-124.135881,Copalis Beach,WA,
98536,47.12535,-124.13471,Copalis Crossing,WA,
98537,46.953789,-123.77394,Cosmopolis,WA,
98538,46.558372,-123.156974,Curtis,WA,
98541,47.005813,-123.39969,Elma,WA,
98542,46.53581,-122.776009,Ethel,WA,
98546,47.305783,-122.949742,Grapeview,WA,
98547,46.853201,-124.056194,Grayland,WA,
98548,47.423526,-123.173932,Hoodsport,WA,
98550,46.982269,-123.884169,Hoquiam,WA,
98552,47.135632,-123.971695,Humptulips,WA,
98555,47.512773,-123.063119,Lilliwaup,WA,
98557,47.053987,-123.273301,Mc Cleary,WA,
98560,47.177545,-123.337638,Matlock,WA,
98562,47.222619,-124.20438,Moclips,WA,
98563,47.09013,-123.500584,Montesano,WA,
98564,46.513136,-122.478935,Mossyrock,WA,
98568,46.843366,-123.249329,Oakville,WA,
98569,46.982905,-124.15323,Ocean City,WA,
98570,46.573016,-122.707503,Onalaska,WA,
98571,47.198144,-124.158833,Pacific Beach,WA,
98572,46.56558,-123.285244,Pe Ell,WA,
98575,47.448505,-123.803744,Quinault,WA,
98576,46.882942,-122.679468,Rainier,WA,
98577,46.671046,-123.692889,Raymond,WA,
98579,46.819295,-123.040634,Rochester,WA,
98580,46.956048,-122.448271,Roy,WA,
98581,46.375176,-123.043134,Ryderwood,WA,
98582,46.515059,-122.645364,Salkum,WA,
98584,47.20863,-123.072862,Shelton,WA,
98585,46.549077,-122.475716,Silver Creek,WA,
98586,46.6544,-123.820315,South Bend,WA,
98587,47.340711,-124.2827,Taholah,WA,
98588,47.435618,-122.921126,Tahuya,WA,
98589,46.864119,-122.849269,Tenino,WA,
98590,46.746874,-124.046008,Tokeland,WA,
98591,46.439552,-122.826559,Toledo,WA,
98592,47.351305,-123.034364,Union,WA,
98593,46.398505,-122.958493,Vader,WA,
98595,46.883619,-124.106055,Westport,WA,
98596,46.494014,-122.915806,Winlock,WA,
98597,46.920589,-122.588049,Yelm,WA,
98601,45.9195,-122.457418,Amboy,WA,
98602,45.909041,-121.148618,Appleton,WA,
98603,45.995154,-122.46769,Ariel,WA,
98604,45.790667,-122.531845,Battle Ground,WA,
98605,45.6341,-121.175778,Cook,WA,
98606,45.730432,-122.484342,Brush Prairie,WA,
98607,45.605772,-122.414231,Camas,WA,
98610,45.749332,-121.835138,Carson,WA,
98611,46.278291,-122.9139,Castle Rock,WA,
98612,46.195383,-123.362716,Cathlamet,WA,
98613,45.703183,-120.945973,Centerville,WA,
98616,46.069012,-122.294186,Cougar,WA,
98619,46.007104,-121.28849,Glenwood,WA,
98620,45.832021,-120.812981,Goldendale,WA,
98621,46.353481,-123.588845,Grays River,WA,
98624,46.314214,-124.02822,Ilwaco,WA,
98625,46.011229,-122.816588,Kalama,WA,
98626,46.148491,-122.886994,Kelso,WA,
98628,45.751534,-121.229231,Klickitat,WA,
98629,45.880587,-122.623972,La Center,WA,
98631,46.377369,-124.047041,Long Beach,WA,
98632,46.151354,-122.963421,Longview,WA,
98635,45.74495,-121.250112,Lyle,WA,
98638,46.352758,-123.804381,Naselle,WA,
98640,46.502867,-124.043582,Ocean Park,WA,
98642,45.784634,-122.693354,Ridgefield,WA,
98643,46.307076,-123.657105,Rosburg,WA,
98645,46.316322,-122.764886,Silverlake,WA,
98647,46.295186,-123.43316,Skamokawa,WA,
98648,45.688173,-121.909346,Stevenson,WA,
